Category,Feature,Affects private chats?,Facebook,Instagram,LinkedIn,Pinterest,Snapchat,Telegram,TikTok,WeChat,WhatsApp,X
Transparency,Who viewed message in groups,Yes,0,0,0,Not applicable,1,1,0,0,1,0
Transparency,Who viewed story,,1,1,Not applicable,Not applicable,1,1,1,0,1,Not applicable
Transparency,See when the other person read chat,Yes,1,1,0,0,1,1,1,0,1,1
Transparency,"Flags if the user is typing, recording, or sending image, video, voice, or file",,1,1,0,0,1,1,0,0,1,0
Transparency,Know who visited/viewed your profile,,0,0,1,0,0,0,1,0,0,0
Transparency,Know who viewed your post,,0,0,0,0,Not applicable,Not applicable,1,0,Not applicable,0
Visibility,Control post view history,,0,0,0,0,Not applicable,Not applicable,1,0,Not applicable,0
Visibility,Limit who view your live (or spaces),,1,1,Not applicable,Not applicable,Not applicable,Not applicable,1,Not applicable,Not applicable,0
Visibility,Limit who can see your phone number,,1,Not applicable,Not applicable,Not applicable,Not applicable,1,Not applicable,Not applicable,0,Not applicable
Visibility,Allow followers to see which spaces you are listening to,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1
Visibility,Anonymous post in group,,1,0,0,0,0,0,0,0,0,0
Visibility,Blur app if try to take screenshot through opened app screen,,0,0,0,0,1,1,0,0,0,0
Visibility,Connection visibility,,1,0,1,0,Not applicable,Not applicable,1,Not applicable,Not applicable,0
Visibility,Control visibility of post,,1,0,1,0,Not applicable,Not applicable,1,1,Not applicable,1
Visibility,Email visibility,,1,1,1,1,1,Not applicable,1,1,Not applicable,1
Visibility,Hide read receipts,Yes,1,1,1,0,0,0,1,1,1,1
Visibility,Hide typing indicator,Yes,0,0,1,0,0,0,0,Not applicable,0,0
Visibility,Last name visibility,,0,0,1,0,0,0,0,0,0,0
Visibility,Limit who view your last seen,Yes,1,1,Not applicable,Not applicable,Not applicable,1,1,Not applicable,1,Not applicable
Visibility,Limit who view your online indicator,Yes,1,1,1,Not applicable,1,0,1,Not applicable,1,Not applicable
Visibility,Limit who view your profile photo (avatar),,0,0,1,0,Not applicable,1,0,0,1,0
Visibility,Limit who view your story (status),,1,1,Not applicable,Not applicable,1,1,1,1,1,Not applicable
Visibility,Listen to spaces anonymously,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1
Visibility,Make account private,,1,1,1,1,1,Not applicable,1,Not applicable,Not applicable,1
Visibility,Visibility of profile information,,1,0,1,0,1,1,0,0,1,1
Visibility,Control location sharing,,1,Not applicable,Not applicable,Not applicable,1,1,Not applicable,1,1,1
Visibility,Profile viewing,,0,0,1,0,0,0,1,0,0,0
Visibility,Who can see posts you're tagged in on your profile?,,1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Visibility,Control the visibility of your interactions,,0,0,0,0,Not applicable,Not applicable,1,Not applicable,Not applicable,0
Visibility,Hide that user viewed story,,0,0,0,0,0,1,0,Not applicable,0,Not applicable
,,,,,,,,,,,,
Legend,,,,,,,,,,,,
1,Feature is available in the app,,,,,,,,,,,
0,Feature is not available in the app,,,,,,,,,,,
Not applicable,Feature is not applicable to the app,,,,,,,,,,,
